SPY US Equity,,,
Dates,PX_OPEN,PX_LAST,PX_VOLUME
9/13/1995,57.906,58.234,239800
9/14/1995,58.438,58.766,457600
9/15/1995,58.406,58.438,431200
9/18/1995,58.234,58.219,307500
9/19/1995,58.328,58.5,549600
9/20/1995,58.594,58.781,290800
9/21/1995,58.703,58.297,508500
9/22/1995,57.828,58.313,449900
9/25/1995,58.375,58.219,130000
9/26/1995,58.391,58.203,466600
9/27/1995,57.953,58.156,654400
9/28/1995,58.203,58.594,456200
9/29/1995,58.547,58.484,606600
10/2/1995,58.484,58.188,293100
10/3/1995,58.188,58.25,839700
10/4/1995,58.281,58.188,248800
10/5/1995,58.25,58.359,268800
10/6/1995,58.391,58.406,75300
10/9/1995,58.188,57.922,358200
10/10/1995,57.328,57.891,360800
10/11/1995,58.094,58.078,228100
10/12/1995,58.125,58.438,199800
10/13/1995,58.703,58.625,488100
10/16/1995,58.453,58.344,443600
10/17/1995,58.406,58.734,146000
10/18/1995,59.016,58.906,228100
10/19/1995,58.875,59.188,500600
10/20/1995,59.141,58.828,748400
10/23/1995,58.547,58.703,533000
10/24/1995,58.781,58.766,172200
10/25/1995,58.813,58.281,302700
10/26/1995,58.375,57.75,606800
10/27/1995,57.688,58.188,905800
10/30/1995,58.328,58.563,488700
10/31/1995,58.719,58.313,508200
11/1/1995,58.281,58.781,415700
11/2/1995,58.688,59.156,326000
11/3/1995,59.234,59.234,615000
11/6/1995,59.219,59.031,311200
11/7/1995,59,58.813,358200
11/8/1995,58.891,59.344,357200
11/9/1995,59.578,59.563,503700
11/10/1995,59.234,59.531,795600
11/13/1995,59.422,59.469,818500
11/14/1995,59.359,59.078,341800
11/15/1995,59.141,59.672,584700
11/16/1995,59.672,60,577700
11/17/1995,60.094,60.188,267000
11/20/1995,60.281,59.875,448800
11/21/1995,59.938,60.359,119200
11/22/1995,60.313,60.172,351600
11/24/1995,60.234,60.328,62400
11/27/1995,60.453,60.344,273000
11/28/1995,60.297,60.984,479000
11/29/1995,61.094,61.047,549200
11/30/1995,61.047,60.906,286200
12/1/1995,60.984,60.984,465200
12/4/1995,61.125,61.734,631700
12/5/1995,61.672,62.141,567700
12/6/1995,62.297,62.281,272800
12/7/1995,62.203,61.953,289700
12/8/1995,62.219,62.156,296900
12/11/1995,62.281,62.422,186500
12/12/1995,62.141,62.234,299400
12/13/1995,62.313,62.625,390700
12/14/1995,62.688,62.172,395000
12/15/1995,61.875,61.813,416700
12/18/1995,61.266,60.625,862300
12/19/1995,60.656,61.266,1022600
12/20/1995,61.453,60.672,1349800
12/21/1995,61.031,60.984,857600
12/22/1995,61.313,61.203,332800
12/26/1995,61.453,61.5,432200
12/27/1995,61.656,61.469,151800
12/28/1995,61.344,61.406,256200
12/29/1995,61.469,61.484,339200
1/2/1996,61.406,62.141,514400
1/3/1996,62.344,62.313,610300
1/4/1996,62.391,61.719,1129700
1/5/1996,61.313,61.594,302400
1/8/1996,61.813,61.828,179900
1/9/1996,62.063,60.766,415500
1/10/1996,60.688,59.969,787700
1/11/1996,60.063,60.328,513200
1/12/1996,60.484,60.234,390400
1/15/1996,60.25,60.109,154100
1/16/1996,60.406,60.844,454500
1/17/1996,60.703,60.656,407600
1/18/1996,60.891,60.859,425500
1/19/1996,60.859,61.266,169800
1/22/1996,61.219,61.281,288100
1/23/1996,61.25,61.422,362100
1/24/1996,61.516,61.922,1506500
1/25/1996,61.969,61.703,298400
1/26/1996,61.656,62.234,726300
1/29/1996,62.188,62.484,254800
1/30/1996,62.609,63.016,272100
1/31/1996,63,63.672,498000
2/1/1996,63.609,63.906,373900
2/2/1996,63.875,63.641,496200
2/5/1996,63.531,64.156,295300
2/6/1996,64.188,64.766,301600
2/7/1996,64.75,65.141,585100
2/8/1996,65.047,65.844,1526600
2/9/1996,65.813,65.828,804600
2/12/1996,65.953,66.328,626500
2/13/1996,66.047,66.188,1045900
2/14/1996,66.141,65.609,431400
